session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,155.53743918132648,191.37798718129844,228.2740200124412,103.09022268093028
2,153.1175229090449,189.2384508527253,237.83123947832286,103.54434686948615
3,150.173478685823,191.2577970378528,231.39674675186592,101.9566499827747
4,153.6141161133528,186.649971300327,241.47617939292692,100.68895077643533
5,151.32907284949925,180.66172174361878,247.97255343048036,100.04137748658322
6,149.05821369451562,183.5346692843641,256.1054692162314,98.73486283393103
7,143.7816754932704,180.10867758194323,256.51796765558277,97.63691817511723
8,142.56317042460276,174.8469368331385,254.86713848083346,94.64926833108763
9,146.2477516667617,179.22693132172222,267.92947888382486,95.69593887180444
10,143.24401564598307,179.13343685506987,264.49745696728826,91.71040525478543
