session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,232.42448720210012,26.882665831530645,98.69806126095244
2,65,238.1305004683394,29.600242689807878,100.23752152025328
3,70,252.48558701984228,29.551226921873138,97.62881138213383
4,75,255.84288817726002,33.333730002422506,92.45344736649733
5,80,270.54772534065177,26.477275826296953,93.48941871044448
6,85,279.07671759374966,28.650957182455926,94.92315081249745
7,90,286.7674693284262,28.590813147785383,88.63066401630091
8,95,290.9185204031021,29.420815179894333,84.86267458301464
9,100,292.6131757955224,28.731512273246867,90.62561301098029
10,105,319.17394996438935,29.350045804700468,83.88010970051322
